title,artist,link
Portrait of a Bearded Man (1960),Marjory Dickson,art/record/20992?highlight=*:*
Inscription Panel from Trajan's Column (Left side),Unknown,art/record/20536?highlight=*:*
Still Life (Circa 1970),Patrick J. Hickey,art/record/22606?highlight=*:*
The Children's Hour (1974-1976),"Eduardo Luigi Paolozzi KBE, RA",art/record/21699?highlight=*:*
Drawing of a Seated Woman (1960),William Smith,art/record/20987?highlight=*:*
Untitled (1962),John Picking,art/record/111040?highlight=*:*
The World from Space (1998),John Brown,art/record/21864?highlight=*:*
Unknown,Unknown,art/record/50397?highlight=*:*
Squeeeeeze (2016),Ruoyan Wang,art/record/99240?highlight=*:*
Untitled (Unknown),Isobel Jack,art/record/21624?highlight=*:*
Untitled (Unknown),Unknown,art/record/21808?highlight=*:*
Untitled - Sitting Woman with a Fringe (Apr 1963),William Gillon,art/record/99479?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),Joseph Cavagnari,art/record/20717?highlight=*:*
Unknown (1952),Rosemary Bagshaw,art/record/53519?highlight=*:*
Untitled - Portrait of a Female with Fringe (1963-1964),Irene G. Thomson,art/record/99420?highlight=*:*
Portrait of a Young Woman (1958),Ian Hodkinson,art/record/20879?highlight=*:*
Unknown,Helen Gibbs,art/record/50387?highlight=*:*
Kneeling Male Nude (1953),Adam M Martin,art/record/21058?highlight=*:*
Untitled,Roy M. W. Cameron,art/record/112349?highlight=*:*
Standing Female Nude (1954),Nita Newman,art/record/21254?highlight=*:*
Portrait of a Woman,Jane V Hyslop,art/record/21529?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,art/record/21787?highlight=*:*
Untitled (Unknown),Unknown,art/record/21925?highlight=*:*
Untitled (1968),Doreen Turner,art/record/22013?highlight=*:*
Unknown (1949),Thomas Clapperton,art/record/50560?highlight=*:*
Edinburgh College of Art War Memorial (1922),"Charles d'Orville Pilkington-Jackson ARSA, FRBS, FRSA",art/record/99985?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,art/record/50439?highlight=*:*
Dog (1966),James Fairgrieve,art/record/21345?highlight=*:*
Architectural Drawing,Graeme McKenna,art/record/21459?highlight=*:*
Cantoria (left panel),Unknown,art/record/20578?highlight=*:*
Unknown,Robert Euman,art/record/53544?highlight=*:*
City Beyond (NOV 1962),John Picking,art/record/111038?highlight=*:*
Standing Female Nude at Mirror (1962),Robert S. Crozier,art/record/22663?highlight=*:*
Untitled (1961),Vivien Alexander,art/record/99385?highlight=*:*
Unknown (1946),Margaret C. Ogilvy,art/record/50493?highlight=*:*
Portrait of a Woman (1948),Thomas Kim Redpath,art/record/20800?highlight=*:*
Seated Female Nude (Circa 1959),Kenneth Dingwall,art/record/122753?highlight=*:*
Untitled - Abstracted Shapes in Greys and Greens (1963),Gordon Bryce,art/record/99277?highlight=*:*
Untitled (1960),Robin E. Bownass,art/record/99373?highlight=*:*
Border Fancy (1979),Colin Adams,art/record/21630?highlight=*:*
Untitled - Figure on the Beach (1984),Heidi J P Kosaniuk,art/record/99438?highlight=*:*
Portrait of a Seated Man (1960),Irene Ellis,art/record/21210?highlight=*:*
Townscape with Church (1955),Margaret Proudfoot,art/record/21034?highlight=*:*
Farm Building (1946),Dorothy M. Peach,art/record/22735?highlight=*:*
Hill Fence (1976),Alfons Bytautas,art/record/50385?highlight=*:*
Gem cabinet 6 (of 6) containing 43 medallions,Unknown,art/record/20620?highlight=*:*
Two Builders in an Industrial Landscape (1965),John MacLeod,art/record/122710?highlight=*:*
"Sweden - Fishing for Str⁯ömming, Furusund (1962)",Ann F Ward,art/record/99338?highlight=*:*
Cup of Life (1994),Leah Oates,art/record/21558?highlight=*:*
Standing Woman (1959),C Byron,art/record/20915?highlight=*:*
Still Life with Orange Jug and Bottles,G. F. Patterson,art/record/122961?highlight=*:*
Nude Woman,Mieczyslaw T. Janikowski,art/record/22659?highlight=*:*
Untitled (1961),Jean Connacher,art/record/112343?highlight=*:*
Unknown,Andrew Parkinson,art/record/50410?highlight=*:*
Herrings,Unknown,art/record/22670?highlight=*:*
Plate,Emma Gillies,art/record/53675?highlight=*:*
Two male figures from Parthenon Frieze,NA,art/record/20662?highlight=*:*
19th century handkerchief (1800-1899),Unknown,art/record/102683?highlight=*:*
Head of a Young Man (1950),Alison E. H. Stuart,art/record/22689?highlight=*:*
Hedge Cut (1998),John Brown,art/record/21852?highlight=*:*
Unknown,Jeffery Camp,art/record/50565?highlight=*:*
Untitled (1946),Vivian Chapman,art/record/21736?highlight=*:*
Untitled (2006),Elizabeth Shepherd,art/record/99875?highlight=*:*
Untitled (Unknown),Unknown,art/record/21992?highlight=*:*
Man with Two Birds (1947),Perpetua Pope,art/record/122736?highlight=*:*
Seated Male Nude (1954),Kathleen M D Mole,art/record/21051?highlight=*:*
Unknown (1950),William James Laidlaw Baillie,art/record/50628?highlight=*:*
Portrait of a Woman (1954),Thomas T Robertson,art/record/21206?highlight=*:*
Seated Male Nude (1954),David Ewans,art/record/21228?highlight=*:*
Reclining Male Nude (1957),Jean Ritchie,art/record/20788?highlight=*:*
Espresso Saucer,Emma Gillies,art/record/53681?highlight=*:*
Untitled - Portrait of a Woman with Short Hair (1961),Gavin Waddell,art/record/99454?highlight=*:*
Teacup,Emma Gillies,art/record/53651?highlight=*:*
Untitled (1983),Robert Rivers,art/record/99806?highlight=*:*
Untitled (1962),Pat Semple,art/record/21766?highlight=*:*
Untitled (1963),Kathleen Russell,art/record/22014?highlight=*:*
Unknown (23 JAN 1964),James Goodall,art/record/50481?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,art/record/50527?highlight=*:*
Untitled,Unknown,art/record/102678?highlight=*:*
Untitled (Unknown),Unknown,art/record/21998?highlight=*:*
Unknown (1950),James T. Ferguson,art/record/53499?highlight=*:*
Man in Blue Waistcoat (1987),Henry Rogers,art/record/21461?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,art/record/50526?highlight=*:*
Multiple Views of Female Nude (1949),Douglas Gordon,art/record/21102?highlight=*:*
Self Portrait,Ursula Giles,art/record/22728?highlight=*:*
Untitled (1962),James Goodall,art/record/99848?highlight=*:*
Teacup,Emma Gillies,art/record/53646?highlight=*:*
Disturbance (2007),Edmundus Saladzius,art/record/99891?highlight=*:*
Plate,Emma Gillies,art/record/53710?highlight=*:*
Unknown (1960),Lys Hansen,art/record/53560?highlight=*:*
Untitled (1962),Paresh C. Chakraborty,art/record/112306?highlight=*:*
Portrait of a Seated Woman (1965-1966),George Donald,art/record/21172?highlight=*:*
Portrait of Woman (1951),Allan Carr,art/record/123112?highlight=*:*
Espresso Cup,Emma Gillies,art/record/53694?highlight=*:*
Serving Plate,Emma Gillies,art/record/53620?highlight=*:*
Standing Female Nude (1967),Sylvia M. R. Cameron,art/record/22701?highlight=*:*
Harbour scene,Derek Maguire,art/record/102744?highlight=*:*
Unknown (1952),Rosemary Bagshaw,art/record/53520?highlight=*:*
Untitled,Unknown,art/record/102725?highlight=*:*
Two Circus Acts in One (1958),Seong Moy,art/record/21704?highlight=*:*
Swedish coffee pot cover,Unknown,art/record/102687?highlight=*:*
Seated Female Nude (1949),Leszek Muszynski,art/record/21075?highlight=*:*
Two Standing Nudes in a Landscape (1951),James P W Syme,art/record/20835?highlight=*:*
Crowd in Glasgow (1963),Geoffrey J Roper,art/record/21359?highlight=*:*
Portrait of a Woman (1957),Colin Turner,art/record/21143?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,art/record/50474?highlight=*:*
Untitled (2007),Kerri Stean,art/record/99978?highlight=*:*
"Corbel from Trinity College Church, Edinburgh",Unknown,art/record/20557?highlight=*:*
Untitled (1966),Helen G. S Forde,art/record/99816?highlight=*:*
Firenze Winter (1958),Beatrice Patricia Grimshaw,art/record/53478?highlight=*:*
Untitled - Figured Drawing of Nude Woman on a Couch (1963),Gordon Bryce,art/record/99329?highlight=*:*
Bust of Queen Nefertiti (White),Unknown,art/record/20622?highlight=*:*
Unknown,Valerie Samuel,art/record/53535?highlight=*:*
Seated Female Nude (1954),Elizabeth Blackadder,art/record/21409?highlight=*:*
Earth II,Garry Marshall,art/record/122723?highlight=*:*
Woman in Floral Dress (Circa 1955),Eric Ritchie,art/record/21395?highlight=*:*
Seated Man Playing a Stringed Instrument (1952),Douglas Kerr,art/record/21040?highlight=*:*
Unknown (1947),Marjorie Wallace,art/record/50438?highlight=*:*
Views of a Male Nude (FEB 1952),Martin G C McKeown,art/record/21416?highlight=*:*
Untitled (1983),Robert Rivers,art/record/99808?highlight=*:*
Archway,Louise Allardyce,art/record/21524?highlight=*:*
Brass moths and bees (2018),Jessica Gasson,art/record/102752?highlight=*:*
Untitled (1965),Frances Sander,art/record/99527?highlight=*:*
Opuntia Alburdina (America) (1993-1994),Jane Watt,art/record/99460?highlight=*:*
Ayrshire christening robe (1800-1899),Unknown,art/record/102680?highlight=*:*
Untitled (1990),Robert Euman,art/record/122846?highlight=*:*
Indian Still Life,Christine Ironside,art/record/122903?highlight=*:*
Anatomy Test Jeckon H,Maureen Dawson,art/record/112351?highlight=*:*
Black Sitka (1961),William Johnstone,art/record/499?highlight=*:*
Standing Male Nude (1952),David Michie,art/record/21387?highlight=*:*
Unknown (1952),Rosemary Bagshaw,art/record/53514?highlight=*:*
Unknown,Ruari MacLeod,art/record/50437?highlight=*:*
Seated Female Nude on Painted Wooden Chair (1967),Isobel T Johnstone,art/record/122695?highlight=*:*
Standing Male Nude (1958),David Rifat,art/record/20874?highlight=*:*
Seated Male Nude (1959),W Bryden,art/record/21108?highlight=*:*
Reclining Male Nude (1952),John Houston,art/record/21353?highlight=*:*
Unknown,Alan Chisholm,art/record/50405?highlight=*:*
Unknown (1950-1951),Valerie A. Cockburn (Gage),art/record/50556?highlight=*:*
Old Waverley Hotel (1990),Kirsty E. Raitt,art/record/22587?highlight=*:*
Landscape with Bridge and Loch (Circa 1987),Renny J. Tait,art/record/22519?highlight=*:*
Still Life with Apples,John P Busby,art/record/123107?highlight=*:*
Abstract in Yellow and Turquoise,Tom Sheran,art/record/123113?highlight=*:*
Orange and Lemon Playing Games I (1999),CBE HRSA HRSW Wilhelmina Barns-Graham,art/record/54751?highlight=*:*
Reclining Female Nude (Verso: Back of Standing Male in Costume) (22 MAR 1951),Diana M. Douglas-Hamilton,art/record/53527?highlight=*:*
Composition with Red Sprouting Beans (Circa 1975),Andrew J. Neil,art/record/22643?highlight=*:*
Portrait of a Young Man (1950),Joseph Maxwell,art/record/21061?highlight=*:*
Embroidered panel,Winsome Douglass,art/record/113834?highlight=*:*
Untitled (1948),Allan W. Robson,art/record/21744?highlight=*:*
Still Life (1949),Marion M Cooper,art/record/122966?highlight=*:*
Portrait of a Man (1966),James Fairgrieve,art/record/21396?highlight=*:*
Abstract Landscape with Orange and Black (1965-1966),Laura McPherson,art/record/99392?highlight=*:*
Unknown (1960),Hugh Deans,art/record/53530?highlight=*:*
Portrait of a Woman (1951),James P W Syme,art/record/21231?highlight=*:*
Memorabilia (Unknown),James Cumming,art/record/21651?highlight=*:*
Sleeping Figure,Paul Gladston,art/record/21516?highlight=*:*
Bowl,Emma Gillies,art/record/122078?highlight=*:*
Reclining Female Nude (1957),Peter Coyle,art/record/20968?highlight=*:*
Standing Male Nude,A Wrever,art/record/20859?highlight=*:*
Untitled,Ruth Stiven,art/record/99494?highlight=*:*
Roko I Cicibela (1983),Boris Bućan,art/record/22042?highlight=*:*
Untitled (Unknown),Glen M. K. Onwin,art/record/21822?highlight=*:*
Replica cast (brown) of Parthenon slab GE31,Unknown,art/record/20656?highlight=*:*
"Couplings, Escalator for sale (2017)",Tessa Lynch,art/record/102736?highlight=*:*
Untitled (1988),Jodie Pear,art/record/21552?highlight=*:*
Untitled (2003),Carolyn Muskat,art/record/99955?highlight=*:*
Reclining Male Nude (1958),David Rifat,art/record/20875?highlight=*:*
Emerging (1987),Paul Fernaux,art/record/122821?highlight=*:*
Untitled (1962),Leslie Johns,art/record/21762?highlight=*:*
Jug,Emma Gillies,art/record/122072?highlight=*:*
Portrait of a Woman (1952),Martin G C McKeown,art/record/21415?highlight=*:*
Untitled,Jock Nicol,art/record/111035?highlight=*:*
Seated Female Nude with Striped Floor Drape,Unknown,art/record/122796?highlight=*:*
Untitled (1947),Maria Garbolewska,art/record/21769?highlight=*:*
Unknown (Unknown),Unknown,art/record/21546?highlight=*:*
Tapestry fragment,Unknown,art/record/102673?highlight=*:*
Tantallon,Gwyneth M. Leech,art/record/21802?highlight=*:*
Untitled (NOV 1968),Caroline Rose,art/record/21843?highlight=*:*
St Pauls at Night (1950),Alexander Cree,art/record/50546?highlight=*:*
Man on Crutches in Street (Circa 1950),Alexander Cree,art/record/122860?highlight=*:*
Unknown (1950),Edward A. Gage,art/record/50631?highlight=*:*
Untitled (1962),John Fraser,art/record/99818?highlight=*:*
Untitled (1989),Joanne Leonie Milne,art/record/21909?highlight=*:*
Unknown,Maureen Baird,art/record/50622?highlight=*:*
IV,Jane R. Nicoll,art/record/122739?highlight=*:*
Unknown (1963),Lesley M. Johns,art/record/50435?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,art/record/20702?highlight=*:*
Riders: Parthenon Frieze (1836-1837),NA,art/record/20707?highlight=*:*
Quick Sketch (1950),Patrick W. Barclay,art/record/50619?highlight=*:*
Untitled (Unknown),R. Sander,art/record/21607?highlight=*:*
Small Cheeseplant,Susan Alexander,art/record/50403?highlight=*:*
Mask and Plastic Limbs (Circa 1982),Graeme Magee,art/record/22533?highlight=*:*
View of a Street and Market in Assisi (1948),Marjorie Wallace,art/record/20853?highlight=*:*
Seated Female Nude (1962),Geoffrey J Roper,art/record/99367?highlight=*:*
Still Life,Zygmunt Bukowski,art/record/122895?highlight=*:*
Grumpy Hansel (1:2) (Unknown),Unknown,art/record/21823?highlight=*:*
Still Life (1967),Scott Murray,art/record/22613?highlight=*:*
Untitled (Pink) (2014),Phoebe Mitchell,art/record/53777?highlight=*:*
Chair seat (1700?-1850?),Unknown,art/record/100007?highlight=*:*
Untitled (1966),Molly Harris,art/record/99835?highlight=*:*
Standing Male Nude (1959),Bruce Clapperton,art/record/20911?highlight=*:*
9 European Cafes: no 5: La Couple (Circa 1977),Timothy Morrison,art/record/22618?highlight=*:*
Portrait of a Woman (1953),Llewella C. Brayne,art/record/21199?highlight=*:*
Untitled (1967),Laurence Roche,art/record/22480?highlight=*:*
Curtain (1961),Unknown,art/record/100008?highlight=*:*
Still Life (1961),Ann F Ward,art/record/122913?highlight=*:*
Still Life Fish (1953),Ian J. D. Short,art/record/22681?highlight=*:*
Fish in a Whirlpool (1953),Hans Jelinek,art/record/21653?highlight=*:*
Landscape Study with Buildings and Trees (1955),Margaret Proudfoot,art/record/21032?highlight=*:*
Untitled - Figure Drawing of A Man with Crossed Arms (1968),Alfons B. Jasinski,art/record/99273?highlight=*:*
Untitled (1946),Eileen Bennett,art/record/21732?highlight=*:*
Disconnected Still Life (1968),Carol A. Sebula,art/record/122751?highlight=*:*
Unknown,Unknown,art/record/53508?highlight=*:*
Untitled (2007),Gordon Brennan,art/record/99976?highlight=*:*
Untitled (Unknown),Alice Crombie,art/record/21712?highlight=*:*
Unknown (1943),W C G Thomson,art/record/50451?highlight=*:*
Untitled (Unknown),Matt Gamber,art/record/99913?highlight=*:*
Lilian Willey collar (1950),Lilian Willey,art/record/102707?highlight=*:*
Portrait of a Man (1954),Elizabeth Blackadder,art/record/21408?highlight=*:*
Old Town (1998),John Brown,art/record/21865?highlight=*:*
'Gods' and Chiton Figure from East Frieze of the Parthenon (1836-1837),NA,art/record/20684?highlight=*:*
Seated Male Nude on Stool (1955),J Salter,art/record/21193?highlight=*:*
Processions Banner (2018),Lindy Richardson,art/record/102750?highlight=*:*
Self Portrait (Circa 1951),Barbara C. Balmer,art/record/122917?highlight=*:*
Unknown (1960),Hugh Deans,art/record/53573?highlight=*:*
Untitled (1963),Andrew Raeburn,art/record/22018?highlight=*:*
Untitled (1962),Chris Holmes,art/record/21770?highlight=*:*
Unknown (1949),James N. Hardie,art/record/50532?highlight=*:*
The Potato-Sorters (1947),Allan W. Robson,art/record/21742?highlight=*:*
Reclining Female Nude (19 JAN 1950),Mollie E N Langlands,art/record/21019?highlight=*:*
"Painting, Sculpture and Tapestry Exhibition Poster (1989)",Unknown,art/record/21848?highlight=*:*
Unknown,Unknown,art/record/53505?highlight=*:*
Pier,Lynda Gillard,art/record/21449?highlight=*:*
Portrait of a Woman (1960),Mary Shanks,art/record/20947?highlight=*:*
Nude in Studio Interior (1896),Samuel John Peploe,art/record/20739?highlight=*:*
Standing Nude Woman,Bruce W. Black,art/record/122820?highlight=*:*
Standing Male Nude (1958),Sarah Shaw,art/record/20818?highlight=*:*
Three Men (1963),Geoffrey J Roper,art/record/21360?highlight=*:*
Untitled - Portrait of a Girl in a Hat (05 DEC 1966),Catherine Robin,art/record/99411?highlight=*:*
Don Quixote (Unknown),Unknown,art/record/21682?highlight=*:*
Unknown (1946),Marjorie McLachlan,art/record/50489?highlight=*:*
Standing Male Nude (1954),Kathleen M D Mole,art/record/21052?highlight=*:*
Portrait of a Seated Woman (1954),John P Busby,art/record/21376?highlight=*:*
Seated Young Male Nude (1948),Victorine Anne Schilsky,art/record/20832?highlight=*:*
Abstract,James T Carlyle,art/record/21004?highlight=*:*
Five Views of a Woman Seated (Circa 1955),Peter McGinn,art/record/21090?highlight=*:*
Unknown (1952),Leonard I. H. Gray,art/record/53487?highlight=*:*
In Edinburgh Carnival '65 (1965),Kenneth R Duffy,art/record/99493?highlight=*:*
Unknown (1930s),James H Donaldson,art/record/53528?highlight=*:*
Side Plate,Emma Gillies,art/record/53618?highlight=*:*
Abstract,V. Constant,art/record/111443?highlight=*:*
Whitework baby's bonnet,Unknown,art/record/102708?highlight=*:*
Unknown (1949),Alexander Cree,art/record/50543?highlight=*:*
Untitled (1971),G.A. C,art/record/21927?highlight=*:*
Seated Nude Woman (1957-1959),Albert Robson,art/record/20813?highlight=*:*
Farm Building (01 MAY 1985),Allison E Sharpe,art/record/21467?highlight=*:*
Marshal from the West Frieze of the Parthenon (1836-1837),NA,art/record/20689?highlight=*:*
Unknown (1950),Valerie A. Cockburn (Gage),art/record/50555?highlight=*:*
Seated Figure (Circa 1975),Ruth S. Stiven,art/record/122905?highlight=*:*
"Figure in a Garden, Florence (1966)",William S. T. Brodie,art/record/50495?highlight=*:*
Saucer,Emma Gillies,art/record/53627?highlight=*:*
Architectural Frieze with Lion's Head,Unknown,art/record/20535?highlight=*:*
Unknown,Alan J McLeod,art/record/53605?highlight=*:*
Pylons in the Landscape (01 MAY 1985),Allison E Sharpe,art/record/21468?highlight=*:*
Italian quilting in frame,Unknown,art/record/102666?highlight=*:*
Old Pentland (1965),John Picking,art/record/122742?highlight=*:*
Printmaking and Print Collecting 1500-1700,Unknown,art/record/21776?highlight=*:*
Untitled (1981),Colin A. Lawson,art/record/99530?highlight=*:*
Finial (2018),Jack Handscombe,art/record/102754?highlight=*:*
Unknown (Unknown),Unknown,art/record/21867?highlight=*:*
"Metope 2, south entablature, Parthenon (1837)",NA,art/record/20641?highlight=*:*
Passage with Stacks and Artificial Light (1981),Colin A. Lawson,art/record/22554?highlight=*:*
Georgian waistcoat (1700-1799),Unknown,art/record/102662?highlight=*:*
Landscape (Circa 1966),James H. Fairgrieve,art/record/122851?highlight=*:*
Unknown (Circa 1890),Unknown,art/record/50467?highlight=*:*
Two Seated Female Nudes (31 MAY 1951),Fiona M Mouat,art/record/21196?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,art/record/20725?highlight=*:*
Unknown (1952),Rosemary Bagshaw,art/record/53513?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,art/record/50471?highlight=*:*
Seated Male Nude (1958),Elizabeth Meldrum,art/record/21158?highlight=*:*
Seated Female Nude (1959),George H McIntosh,art/record/21063?highlight=*:*
Angel playing a pipe,Unknown,art/record/20609?highlight=*:*
Untitled - 1/2 hr Life Drawing of Man in a Blue Costume (1963),Isobel T Johnstone,art/record/99248?highlight=*:*
Summer 1954 (1954),Peter McGinn,art/record/22581?highlight=*:*
Unknown (1965),Frances Sander,art/record/53595?highlight=*:*
Untitled (Unknown),Unknown,art/record/21573?highlight=*:*
Untitled (Circa 1960),Robert L Snowden,art/record/21545?highlight=*:*
Seated Female Nude (1953),Andrew Restall,art/record/20946?highlight=*:*
The Bric-A-Brac Shop (Circa 1960),Vivien Alexander,art/record/122839?highlight=*:*
Sitting Man (Circa 1966),George M. Donald,art/record/122840?highlight=*:*
Still Life with Glass Jug (1956),Andrew Smith,art/record/122922?highlight=*:*
Fish and Circles (Circa 1982),Wilhelmina Barns-Graham CBE HRSA HRSW,art/record/54747?highlight=*:*
Unknown (1965),Laura McPherson,art/record/50499?highlight=*:*
Unknown (1960),John Gilbert,art/record/53491?highlight=*:*
Seated Woman holding Hat (Jun 1961),John Bellany,art/record/20768?highlight=*:*
Untitled,Barbara Walton,art/record/123509?highlight=*:*
Venus de' Medici,Unknown,art/record/20607?highlight=*:*
Standing Male Nude (1958),Andrew P. W. Conkie,art/record/22716?highlight=*:*
The Etiquette of Landscape and Face: Passage 1 (2015),Leonie Neuweger,art/record/53781?highlight=*:*
Portrait of a Bearded Man with Bow Tie,Unknown,art/record/22611?highlight=*:*
No. 98 (1960),John Johnstone,art/record/99256?highlight=*:*
Untitled (Unknown),Unknown,art/record/21711?highlight=*:*
Untitled (1969),Richard Easson,art/record/99831?highlight=*:*
Untitled (Unknown),Moyna Flannigan,art/record/21933?highlight=*:*
Girl and Baby (1962),Joan Eardley,art/record/99213?highlight=*:*
Unknown (1948),Eric Forrest,art/record/50586?highlight=*:*
Unknown,Elizabeth Blackadder,art/record/50636?highlight=*:*
Mythological Landscape (diptych) (1990),Robert Euman,art/record/122910?highlight=*:*
Woman in a Blue Background,Ian Paterson,art/record/22696?highlight=*:*
Seated Woman with Hand on Hip (1956-1959),Jacqueline A N Stieger,art/record/20819?highlight=*:*
Standing Male Nude (1939-1940),James H Donaldson,art/record/21124?highlight=*:*
From Early Italian Poets (1974-1976),"Eduardo Luigi Paolozzi KBE, RA",art/record/21001?highlight=*:*
Standing Female Nude (1953),Allan Sutherland,art/record/20978?highlight=*:*
Dining Table,John Houston,art/record/21045?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,art/record/20730?highlight=*:*
Notations: Edinburgh (2017),India Elizabeth Cawley Gelling,art/record/100016?highlight=*:*
Small Anatomical Figure,NA,art/record/20601?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,art/record/50449?highlight=*:*
Extended Effect (2007),Karin Nogva,art/record/99900?highlight=*:*
The Stove (1948),Leszek T. Muszynski,art/record/122730?highlight=*:*
Seated Female Nude,Euan Gray,art/record/122854?highlight=*:*
Untitled (1961),Thora Clyne,art/record/112309?highlight=*:*
Unknown,Unknown,art/record/53538?highlight=*:*
Digging Peat (Circa 1952),Maureen Baird,art/record/122836?highlight=*:*
Cushion,Enid Mason,art/record/123302?highlight=*:*
Saucer,Emma Gillies,art/record/53633?highlight=*:*
Seated Woman in Blanket (1965),William Gillon,art/record/21325?highlight=*:*
The Three Tyches,Unknown,art/record/20533?highlight=*:*
Portrait of a Man (1952),David Michie,art/record/21384?highlight=*:*
Seated Male Nude (1983-1984),Robert Maclaurin,art/record/21522?highlight=*:*
Agricultural Tools,Alexander Curtis,art/record/21505?highlight=*:*
Coronation Jug (1953),Mollie E N Langlands,art/record/22507?highlight=*:*
Portrait of a Young Woman (1965),Irene Scott,art/record/21292?highlight=*:*
Portrait of a Man with a Beard (1959),Alan Kemp,art/record/20903?highlight=*:*
Four Prints (2007),Paul Laidler,art/record/99965?highlight=*:*
Abstract Composition in White with Circle (1989),Linda A. Henniker,art/record/22514?highlight=*:*
Untitled (2007),Johan Wahlgren,art/record/99980?highlight=*:*
Replica cast of Partheon frieze GE32,Unknown,art/record/20654?highlight=*:*
Couple with Chauffer and Limousine (1964),William M. McG. Gillon,art/record/122684?highlight=*:*
Untitled,Roy M. W. Cameron,art/record/112350?highlight=*:*
Large Still Life,Sir William George Gillies,art/record/20744?highlight=*:*
Cryptogam (1991),Unknown,art/record/21794?highlight=*:*
Kneeling Male Nude (1953),Peter Brady,art/record/20967?highlight=*:*
View of Edinburgh Castle,Unknown,art/record/122763?highlight=*:*
Figure on Stage (1984),Robert A. C. MacLaurin,art/record/122741?highlight=*:*
Replica cast (white) of GE33,Unknown,art/record/20652?highlight=*:*
Postgraduate Degree Show 1986 (1986),Robert Adam,art/record/21584?highlight=*:*
Saucer,Emma Gillies,art/record/53656?highlight=*:*
Unknown (1958),Beatrice Patricia Grimshaw,art/record/53480?highlight=*:*
Aux cinq billiards (1963),Ann F Ward,art/record/99340?highlight=*:*
Copper Engraving (1949),Alfred Hackney,art/record/21826?highlight=*:*
Woven fragments (waistcoat),Unknown,art/record/102702?highlight=*:*
Face on Water,Paul Furneaux,art/record/21747?highlight=*:*
Standing Female Nude (1951),NA,art/record/21068?highlight=*:*
Head of a Companion of Odysseus,Unknown,art/record/20583?highlight=*:*
Running goddess from east pediment of the Parthenon,NA,art/record/20636?highlight=*:*
Unknown (1901),George Bain,art/record/50458?highlight=*:*
Unknown (1938),Betty M. Ferguson,art/record/53522?highlight=*:*
Nanduti lace collar,Unknown,art/record/102694?highlight=*:*
Seated Male Nude (1950s),John Houston,art/record/21044?highlight=*:*
Unknown,Zygmunt Bukowski,art/record/53559?highlight=*:*
3 Paps of Jura (Unknown),Catherine Orbach,art/record/21981?highlight=*:*
Untitled (Unknown),Unknown,art/record/21709?highlight=*:*
Female Nude Adjusting Shoe (Recto)/ Seated Female Nude (Verso) (1948),John Thompson,art/record/20843?highlight=*:*
Portrait of a Young Man (recto) (1951),Alistair M Park,art/record/122685?highlight=*:*
Untitled,Unknown,art/record/102727?highlight=*:*
Printed Fabric,Robin Jones,art/record/22538?highlight=*:*
Barcelona Suite (Circa 1974),Gavin Robson,art/record/122894?highlight=*:*
Abstract Composition in Black and Green (Circa 1967),George M. Donald,art/record/122834?highlight=*:*
Life Float and Boat,Ashley McCormick,art/record/21478?highlight=*:*
House in a Landscape,Unknown,art/record/21501?highlight=*:*
Unknown (1974),Richard Wiatrek,art/record/50394?highlight=*:*
Untitled (1969),James Fleming,art/record/22491?highlight=*:*
Portrait of a Man (1959),Grace Nichol,art/record/21119?highlight=*:*
Untitled (1981),Jo de Pear,art/record/21922?highlight=*:*
Untitled - Five Miners (1963),Felicity J Bostock,art/record/99372?highlight=*:*
Untitled (1983),Robert Rivers,art/record/99809?highlight=*:*
Saucer,Emma Gillies,art/record/53658?highlight=*:*
Teacup,Emma Gillies,art/record/53643?highlight=*:*
Seated Female Nude (1959),W Bryden,art/record/21107?highlight=*:*
"Still Life with Jug of Flowers, Goblet and Fruit",Sir William George Gillies,art/record/20753?highlight=*:*
Unknown (JUN 1987),Hazel Sutherland,art/record/53606?highlight=*:*
Portrait of a Man (Side View) (1958),Peter Standen,art/record/20864?highlight=*:*
Standing Nude (1952),Mollie E N Langlands,art/record/21018?highlight=*:*
'Heroes' and 'Gods' East Frieze of the Parthenon (1836-1837),NA,art/record/20682?highlight=*:*
Male Model Sitting (1965),Sandra E. Millar,art/record/122743?highlight=*:*
Untitled (Unknown),Frank Thomson,art/record/21717?highlight=*:*
Candle and Shell at Sea* (1987),Donald Clark,art/record/22729?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,art/record/20700?highlight=*:*
A Cup Of Wine Together Will Make Us Glad- And A Little Friendship Is No Little Matter (1985),Elaine M. Stenning,art/record/99334?highlight=*:*
Standing Female Nude (1948),Victorine Anne Schilsky,art/record/20833?highlight=*:*
